OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-3397460,"185,4225843","188,5838741","223,5935507","182,1838743","179,3096801","154,6838743","190,2483909","199,0451636","182,6322622","162,0871001","158,2000016","170,4903254","189,9612929","172,0935511","167,9032302","270,7225864","170,3774227","148,3709695","144,77097","153,4903249"
-3397459,"304,4333394","271,2666728","351,5666758","277,2500051","265,7000071","249,9333369","322,6166738","288,0166677","265,100001","184,0166651","253,1333415","186,4666672","309,0333354","294,7500051","198,0333354","409,5666707","285,8666687","209,2166697","198,9666697","222,0000051"
-3397458,"327,6833394","311,5000102","373,8166707","309,5333405","295,100001","267,600001","345,1833394","310,0333405","254,6500015","195,6666718","328,6166738","206,3000031","329,6666718","277,4666748","219,5500031","438,8500061","292,4166667","222,5000025","231,6166738","229,5500031"
-3397457,"271,7666702","267,3000031","313,2166697","245,9666723","257,5333328","225,2500025","281,4666697","258,7666651","218,8000005","169,100001","269,5500081","169,3500036","271,083341","222,8333384","183,1833394","385,4499969","244,5500031","185,6666718","199,7500051","177,3833338"
-3397456,"292,1857125","279,0714373","342,3428606","264,1857213","267,2285854","236,9714355","313,7142944","277,828574","240,0428641","176,2571455","275,7000035","180,5285732","279,5571463","261,2571498","187,1285727","397,2428632","266,9285801","192,5428598","186,2000057","193,7000078"
-3397455,"278,3076994","264,7846163","333,4615432","253,9615432","251,6384653","222,8846213","295,8384658","276,2076932","244,2461583","178,3384669","242,2384667","191,9000045","272,7307763","260,7307728","187,9769275","376,1692434","255,1769268","189,2692343","180,6384665","202,284621"
-3397454,"359,3999939","332,6666667","411,6000061","342,700002","306,3000081","290,9000041","381,6999919","342,8333435","287,4666646","212,6000061","353,7666829","221,9000041","371,2333374","326,8333435","242,0000051","481,3000081","336,3333435","244,3333384","252,5666707","262,4000041"
-3397453,"345,1333415","314,5333455","389,9666748","320,9000041","288,8333333","276,1333415","361,9666748","323,0333455","286,3333435","199,3666687","294,7666728","201,2666728","351,0333455","327,9000041","219,3666636","460,3000081","320,5666809","231,4333394","225,399999","245,3000031"
-3397452,"157,1100021","150,3150017","187,2750023","165,8250023","165,4000046","145,9550053","175,9150032","197,1850044","180,4700012","145,7500023","149,4900021","159,1500023","186,7200027","170,1350014","175,8700027","252,4650032","165,7700027","160,6650024","146,9750015","170,4350044"
-3397451,"217,9500031","227,9300028","270,3566666","198,246668","222,8933375","192,6900024","227,5566701","229,4200038","216,2633372","189,1333374","212,5400035","169,3600011","209,3266719","196,5100037","163,5633362","319,0233419","192,9133367","152,320003","171,243336","149,6833354"
-3397450,"231,8235312","200,7235323","264,5529426","212,6882396","231,8588275","212,0117681","248,4470655","248,7470631","236,9117683","174,3882383","220,6823542","176,829413","253,2588295","248,8176539","217,3470638","304,4235328","246,3705947","217,3000057","210,7764749","234,9411792"
-3389531,"341,3424712","314,9113191","394,8739817","318,2014404","295,9187652","275,5827127","363,1398693","325,6054941","279,9243763","197,6722946","311,3247231","207,6498638","343,0807193","320,117595","216,8571171","458,9757946","318,3625247","226,1220484","220,2562143","237,1186592"
-215684,"329,3600098","308,4","383,880011","306,7200073","290,9400024","267,9800049","352,9600037","314,0600098","264,8200134","193,2000061","314,4600037","204,0000031","328,9799988","299,8399963","209,0399994",447,"303,1399963","219,7400024","215,4400024","228,1800049"
-1957535,"192,9943197","271,4980549","239,7561696","246,6181466","262,7313254","205,3671643","208,3106235","229,6817837","279,4643745","257,6881555","255,3893242","184,1909755","269,3194805","182,7779123","197,044366","302,0307609","217,421154","183,0185797","240,1231396","149,3380319"
-1957534,"202,5","277,9500122","246,6500015","258,4000092","270,9499969","211,0000076","207,75","236,5","281,8000031","261,7500076",265,"196,4000092","275,0500031","182,2000046","199,75","306,8500061","218,6000061","190,5","242,3000031","151,7000046"
-1863176,"190,7391172","260,2835794","234,5698584","227,358823","245,133398","198,9008888","204,6094082","220,7531364","265,8060026","240,4708489","243,3297016","172,2281815","259,3415265","171,8899926","183,6947847","295,7543577","209,8167161","168,55333","240,366168","142,1750714"
-1863175,"184,4816959","251,9968032","233,3202004","221,3099976","236,3452871","195,8150977","200,309995","215,427172","260,1160385","233,6534041","235,722085","165,3988707","253,7130181","170,5575504","178,3786759","294,2232108","209,6828287","162,264528","237,0696186","140,0949034"
-1863174,"200,5999985","257,1000061","237,3000031","226,75","243,2000046","192,6000061","204,5500031","222,25","242,3000031","228,9500046","237,3000031","173,2999954","258,7500076","164,5000076","177,6000061","298,25","210,6000061","163,6500015","234,4499969","137,9500046"
