OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-3397460,"2888,199843","3491,78082","3417,968363","3154,20961","3051,818309","2963,692687","3351,540559","2375,542429","3091,92463","2986,494844","2672,797351","2663,821119","2604,2762","2497,55696","3152,965772","3826,724758","2788,378103","2893,724902","2838,95111","2958,300872","2226,733054"
-3397459,"5359,557781","5730,317887","5487,239821","4583,865734","5453,301774","4447,426312","5132,782426","4914,543867","5157,724623","3768,850093","3842,025879","3989,35845","4380,286836","4515,079872","5687,019383","5414,749938","5080,338647","4424,896854","3772,079899","4477,036637","4019,987502"
-3397458,"5431,032027","5389,34304","5257,209038","4665,529022","5252,660838","4827,05071","5231,453672","5041,079789","4713,940859","3800,287421","4248,082043","4777,632446","4422,339046","4793,605203","4777,606594","6122,58775","5342,923653","4511,186672","4008,471945","4558,014761","4416,993184"
-3397457,"4946,237842","4970,944492","4694,569007","4465,651499","4846,49051","4403,194881","4702,338982","4635,392386","4081,80748","3485,177951","4083,63776","4391,815216","4276,822364","4388,585412","4403,776936","5282,193816","4783,391693","3953,573203","3638,683357","3933,219922","3878,706201"
-3397456,"4872,286998","5107,77822","4986,769356","4473,35742","5222,452394","4297,469159","4625,678649","4647,827458","4764,330215","3615,496114","3850,847468","4133,088338","3901,796848","4330,498563","5075,108364","5423,240991","4891,247032","4080,853686","3663,490597","4502,593585","3835,962255"
-3397455,"4486,812093","4821,501295","4720,267695","4361,003684","4672,199075","3935,386905","4408,060109","3593,835321","4773,80858","3546,148119","3554,414178","3703,240567","3565,428562","3910,809379","5008,41307","5300,147879","4815,573315","3949,396601","3354,970298","4115,685227","3597,706825"
-3397454,"5989,511457","6412,891426","6233,298447","6028,751837","5907,891908","5433,70913","6171,666487","5998,132868","5283,500825","4273,015467","5042,686551","4936,23986","5148,925375","5089,864664","5857,808909","6161,626033","5640,617941","5563,081366","4523,310928","5315,972734","4714,179054"
-3397453,"5648,238812","6229,218843","5825,917841","5244,611925","5709,586969","4613,800215","5636,454574","5808,94626","5554,765301","3973,688737","4443,79877","4525,198705","4914,514648","4900,726259","5841,862567","5679,824448","5421,419331","4955,499536","4357,837368","4793,20131","4438,530334"
-3397452,"2937,134399","3621,108088","3097,521072","3243,612467","3296,931511","2798,823533","3118,758135","2403,043808","3032,279914","2729,008507","2583,463178","2749,486318","2906,073464","2682,216695","3199,545705","3472,702805","2928,480921","2996,188438","2898,668185","2943,7287","2421,461322"
-3397451,"2683,882049","4015,381107","3664,30549","3535,224278","3125,374391","2989,274337","3943,275133","2504,739245","3371,710768","3015,40515","3312,159178","2787,123876","2492,802303","2659,123927","3749,586165","4639,282949","3490,416093","2851,850773","3025,557956","2878,166118","2437,928082"
-3397450,"4221,600721","4817,590832","4675,702803","3970,410066","4823,494855","3847,282317","4291,686566","3546,410589","4073,337544","3392,687304","3681,445183","3628,120175","3814,024911","3801,533972","4912,216018","4849,954034","4371,566114","3803,119768","3297,849985","4028,711498","3463,140798"
-3389531,"5648,822116","6086,031226","5685,924119","5092,05989","5700,83096","4774,472689","5681,685494","5173,860226","5287,883398","3920,064477","4256,838841","4350,410692","4927,363284","5004,597224","5942,818662","5754,650402","5350,167742","5080,223172","4163,251923","5097,392355","4499,513755"
-215684,"5431,736151","5810,406264","5757,18598","4892,561614","5466,692042","4550,676503","5395,36692","5196,599394","5302,723849","3849,310099","4546,069695","4427,175102","4599,191803","4849,536878","5632,178233","5818,909707","5397,377321","4917,073157","4289,596588","5037,964402","4440,304988"
-1957535,"7499,108782","7781,093497","7521,551451","7523,280042","7605,898553","7471,601041","7585,523644","7638,500884","7628,33354","7503,900353","7795,429","7531,378361","7598,784128","7356,94283","7051,342099","7644,812928","7724,821047","7411,242582","7204,813613","7583,501624","7666,798692"
-1957534,"6129,91615","6678,052057","6299,666708","6277,10103","6453,268529","6505,600347","6574,882104","6560,974592","6409,852161","6291,39638","7014,324969","6284,063367","6888,394803","6155,611222","6176,405774","6733,566679","6767,688486","6290,279995","6187,592215","6291,325195","6306,37113"
-1863176,"6338,89184","6673,234867","6283,970345","6678,551589",6473,"6151,559447","6529,435986","6607,7515","6503,7165","6338,118177","6910,15346","6184,335843","6542,424242","5796,973161","5192,02735","7117,590139","6587,566717","6013,050254","5740,354541","5780,763982","5875,997948"
-1863175,"7422,790071","7748,172606","7640,097559","7464,909361","7482,9829","7323,583808","7489,959037","7803,385404","7580,432912","7524,5459","7766,988468","7597,086745","7542,247133","7232,292217","6109,129852","7528,439135","7505,235667","7441,701626","7174,794134","7484,191777","7557,676694"
-1863174,"3357,878605","3768,569566","3749,953362","4187,911368","3735,366613","3988,783973","4151,578486","4096,254189","4035,006909","3423,953747","4564,316148","3665,822085","4232,210097","3706,367359","3370,814562","3971,453204","3783,228543","3581,85341","4269,812323","3512,76856","3211,407767"
