iter	RMSE
0	0.9227592054
1	0.8997350232
2	0.8017458535
3	0.9235081793
4	0.9015874109
5	0.8065703691
6	0.9251883109
7	0.9034876528
8	0.8097928323
9	0.9288543494
10	0.9092149959
11	0.8209292868
12	0.839546482
13	0.8036004241
14	0.6850539452
15	0.8404229801
16	0.805493093
17	0.6901541212
18	0.8446067133
19	0.8096441855
20	0.699626384
21	0.8530000364
22	0.8217802471
23	0.7137386872
24	0.7527793016
25	0.7156657228
26	0.5807596195
27	0.7542448891
28	0.718780423
29	0.5859340872
30	0.7607438827
31	0.7232264921
32	0.5947827676
33	0.7741612778
34	0.7424556301
35	0.6181983357
36	0.6651056926
37	0.6187336627
38	0.4669011436
39	0.6681207697
40	0.6215319951
41	0.4760247502
42	0.6755757667
43	0.631351023
44	0.4844166083
45	0.6941837947
46	0.6596942311
47	0.517477402
48	0.8613747659
49	0.823851052
50	0.6824948928
51	0.8644784063
52	0.828389597
53	0.693105066
54	0.8674232499
55	0.8337481224
56	0.6963846534
57	0.8791744096
58	0.8464621386
59	0.7239206613
60	0.7397214423
61	0.6792297899
62	0.487554407
63	0.745923707
64	0.6870140161
65	0.5029519859
66	0.7531168431
67	0.6965708997
68	0.5181805589
69	0.7727223362
70	0.7210544314
71	0.5648708376
72	0.6013260666
73	0.5391028505
