iter	Passed	Remaining
0	2	452
1	3	390
2	5	344
3	6	329
4	8	313
5	10	334
6	11	330
7	13	322
8	14	316
9	16	322
10	18	314
11	19	308
12	21	305
13	24	330
14	26	327
15	28	322
16	31	334
17	33	337
18	36	346
19	38	350
20	40	346
21	42	341
22	43	338
23	45	335
24	48	340
25	50	336
26	51	331
27	52	325
28	54	322
29	55	316
30	57	311
31	58	306
32	59	301
33	61	298
34	62	293
35	63	290
36	65	286
37	66	282
38	67	278
39	68	274
40	69	270
41	70	267
42	72	263
43	73	262
44	75	259
45	76	256
46	77	253
47	78	250
48	80	247
49	81	244
50	83	244
51	85	242
52	87	242
53	88	240
54	89	236
55	90	233
56	91	230
57	92	226
58	93	223
59	94	220
60	95	217
61	96	214
62	97	211
63	98	210
64	101	210
65	102	208
66	103	206
67	105	204
68	106	202
69	114	211
70	116	211
71	119	213
72	126	219
73	131	224
74	134	224
75	136	222
76	138	221
77	140	220
78	142	218
79	144	217
80	147	216
81	150	216
82	151	213
83	153	211
84	156	211
85	158	209
86	164	214
87	166	211
88	167	209
89	170	208
90	172	206
91	173	203
92	176	203
93	178	201
94	179	198
95	181	196
96	182	194
97	184	192
98	186	190
99	189	189
100	190	186
101	192	184
102	194	182
103	196	181
104	199	180
105	204	181
106	207	180
107	209	178
108	211	176
109	212	174
110	225	180
111	230	180
112	235	181
113	237	179
114	241	178
115	243	176
116	246	174
117	249	173
118	252	171
119	255	170
120	258	168
121	261	167
122	265	166
123	267	163
124	268	161
125	270	158
126	272	156
127	274	154
128	275	151
129	278	149
130	281	148
131	282	145
132	284	143
133	285	140
134	288	138
135	291	137
136	292	134
137	293	132
138	295	129
139	296	127
140	297	124
141	299	122
142	302	120
143	303	118
144	304	115
145	305	113
146	307	110
147	308	108
148	310	106
149	311	103
150	313	101
151	316	99
152	317	97
153	319	95
154	321	93
155	323	91
156	324	89
157	326	86
158	329	84
159	330	82
160	332	80
161	333	78
162	335	76
163	337	74
164	338	71
165	340	69
166	343	67
167	344	65
168	347	63
169	348	61
170	349	59
171	351	57
172	352	54
173	356	53
174	358	51
175	359	49
176	361	47
177	364	44
178	368	43
179	370	41
180	372	39
181	374	37
182	375	34
183	377	32
184	378	30
185	381	28
186	383	26
187	385	24
188	387	22
189	388	20
190	389	18
191	391	16
192	393	14
193	395	12
194	396	10
195	397	8
196	399	6
197	400	4
198	401	2
199	403	0
