OSM_ID,NAME,Region,Area_ha,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-1853863,Черноярский район,AST,"422099,7","94,25","98,3","69,6","122,1","113,9","100,4","81,35","88,15","90,45","132,8","94,25","102,45","106,65001","89,4","74,5","91,35","102,10001","90,6","92,85","74,45"
-1853856,Енотаевский район,AST,"629744,5","79,36667","79,4","62,06667","100,06667","100,33334","78,86667","72,83333","74,66667","83,36667","113,8","94,66667","82,63333","85,36667","69,8","70,3","74,76667","82,83333","68,4","84,1","57,16667"
-1853861,Харабалинский район,AST,"772909,2","73,825","85,775","64,075","92,475","90,05","75,125","76,1","68,375","78,825","100,525","91,425","73,2","76,7","69,25","66,85","81,25","77,725","64,3","83,025","55,575"
-1957535,Камызякский район,AST,340731,"65,66484","70,44329","70,02599","76,63047","88,52041","69,48678","79,61601","70,52079","86,15448","104,63801","103,6797","57,51282","73,5854","60,91064","76,06048","81,21095","71,21063","61,89351","83,9298","56,05519"
-1863174,Красноярский район,AST,"530581,3","63,3","78,95","67,25","77,65","81,1",71,"78,15","69,45","78,75","94,05","93,9","59,75","67,55","62,3","67,1","83,6","70,4","57,8","84,4","54,25"
-1853857,Лиманский район,AST,"528105,4","74,85","69,75","66,5","89,65","96,1","71,15","74,45","74,3",87,"110,1","104,85","67,7","75,1","62,7","77,95","76,65","75,3","66,5","83,9","56,45"
-1957534,Икрянинский район,AST,"198861,6","68,85","68,3","67,6","80,35","93,9","70,2","75,9","70,1","85,5","107,5","102,8",62,"75,6","60,95",76,"76,75","72,65","62,05","84,2","55,35"
-1853865,городской округ Астрахань,AST,"20811,1","64,16856","70,69988","67,66817","76,77346","86,86379","68,85619","78,16572","69,54639","82,69034","101,571","99,35374","57,67835","72,15142","60,70735","71,36354","79,38763","69,77332","59,15374","85,4366","54,90245"
-1853860,Наримановский район,AST,"613142,8","73,1","71,06667","62,8","88,9","95,06667","71,43333","72,56667","70,83334","84,03334","108,6","99,63334",70,"76,93333","62,63333","72,56667","74,4","74,7","62,1","84,7","54,66667"
-1863176,Приволжский район,AST,"79072,5","61,89078","71,85346","68,72003","74,33962","83,6175","68,1061","79,30561","69,11191","81,88188","99,18267","98,65065","55,08847","70,42331","60,47177","70,33934","80,91533","68,44854","58,47017","85,32723","54,81391"
