Год,Территория,Поголовье скота,Т. год,Осадки. год,Горимость
2001,Актюбинская область,3183.3,5.7,402,0.09
2002,Актюбинская область,3284.7,5.7,308,0.17
2003,Актюбинская область,3468.8,5,381,0.06
2004,Актюбинская область,3657.4,6.5,406,0.19
2005,Актюбинская область,3878.1,5.7,220,0.07
2006,Актюбинская область,4111.6,6.4,321,0.19
2007,Актюбинская область,4288.4,5.4,341,0.05
2008,Актюбинская область,4442.9,6.3,294,0.10
2009,Актюбинская область,4558.7,5.6,318,0.05
2010,Актюбинская область,4694.1,6.6,228,0.14
2011,Актюбинская область,4766.8,4.2,279,0.00
2012,Актюбинская область,3933.2,6.9,178,0.03
2013,Актюбинская область,4059.2,7,381,0.01
2014,Актюбинская область,4144.3,5.1,284,0.04
2015,Актюбинская область,4300.7,6.2,257,0.06
2016,Актюбинская область,4552.4,6.5,547,0.01
2017,Актюбинская область,4816.1,5.9,288,0.10
2018,Актюбинская область,5181.8,5.1,213,0.04
2019,Актюбинская область,5531.1,6.3,223,0.05
2020,Актюбинская область,6122.8,,,0.02
2001,Атырауская область,1324.4,10.46823605,139.7,0.05
2002,Атырауская область,1378.3,10.13301075,212.3,0.08
2003,Атырауская область,1508.1,9.799183948,212.1,0.01
2004,Атырауская область,1646.5,11.27220276,187.2,0.03
2005,Атырауская область,1742.9,11.17406746,123.6,0.03
2006,Атырауская область,1851.6,10.05903994,230.6,0.09
2007,Атырауская область,1962.6,11.20830837,197.7,0.06
2008,Атырауская область,2038.5,10.15826196,171.3,0.03
2009,Атырауская область,2112.3,10.24555172,173.1,0.06
2010,Атырауская область,2172,11.89587686,142.6,0.02
2011,Атырауская область,2196.4,9.35483743,234.3,0.04
2012,Атырауская область,1889,10.68373378,150.4,0.01
2013,Атырауская область,1848.1,11.57731439,175.2,0.00
2014,Атырауская область,1947.4,10.38224782,123.6,0.02
2015,Атырауская область,2025.3,10.96387993,268.3,0.03
2016,Атырауская область,2094,11.4,352,0.00
2017,Атырауская область,2213.9,11.3,176,0.08
2018,Атырауская область,2361.9,10.6,97,0.02
2019,Атырауская область,2447,11.4,214,0.02
2020,Атырауская область,2579.1,,,0.03
2001,Западно-Казахстанская область,3157.6,7.79734671,343.75,0.25
2002,Западно-Казахстанская область,3186.5,7.550091206,273.2,0.18
2003,Западно-Казахстанская область,3426.4,6.914416923,327.65,0.06
2004,Западно-Казахстанская область,3619.7,8.424857403,328.65,0.10
