year,flammability,region,OSM_ID,NDVI,precipitation,stock,t
2001,"28,62",Ахтубинский район,-1850408,"3443,553826","305,3000031",,"22,86428595"
2002,"15,94",Ахтубинский район,-1850408,"3283,658314","327,9750061",,"22,46428585"
2003,"0,66",Ахтубинский район,-1850408,"2986,687553","318,0750046",,"20,98928547"
2004,"2,52",Ахтубинский район,-1850408,"3269,350491","319,7250061",,"22,93571472"
2005,"11,46",Ахтубинский район,-1850408,"3305,540993","312,2750092",,"22,80000067"
2006,"16,28",Ахтубинский район,-1850408,"2928,022806","250,3250046",,"23,18928576"
2007,"3,77",Ахтубинский район,-1850408,"2831,902798","275,5000038","33,5","23,50357151"
2008,"4,54",Ахтубинский район,-1850408,"2912,613819","300,7500076","35,4","23,31785774"
2009,"0,13",Ахтубинский район,-1850408,"2581,227383","294,7500076","34,8","22,46785736"
2010,"8,02",Ахтубинский район,-1850408,"2759,457359","291,1500015","34,1","24,79642916"
2011,"2,11",Ахтубинский район,-1850408,"2907,393453","301,4500122","32,4","22,32142878"
2012,"4,00",Ахтубинский район,-1850408,"2935,324393","269,8750038","34,2","24,3285718"
2013,"0,00",Ахтубинский район,-1850408,"3291,743996","354,7500076","35,1","23,08214331"
2014,"16,59",Ахтубинский район,-1850408,"2805,91087","214,4000053","35,6","23,83571434"
2015,"1,42",Ахтубинский район,-1850408,"2401,461595","240,2250061","35,0","23,69285774"
2016,"2,39",Ахтубинский район,-1850408,"3893,87433","373,1500092","36,8","23,70000029"
2017,"20,90",Ахтубинский район,-1850408,"3248,824826","283,0249977","37,6","23,27500057"
2018,"0,74",Ахтубинский район,-1850408,"3053,369692","245,9250031","36,8","23,47142935"
2019,"2,68",Ахтубинский район,-1850408,"3375,662783","289,7000122","35,8","23,60714293"
2020,"4,33",Ахтубинский район,-1850408,"2733,613196","195,375","36,4","24,23571491"
2001,"0,00",Володарский район,-1863175,"4994,35767","184,4816959",,"24,20490621"
2002,"0,00",Володарский район,-1863175,"5348,398723","251,9968032",,"23,78816766"
2003,"0,00",Володарский район,-1863175,"4995,144965","233,3202004",,"22,3571434"
2004,"0,00",Володарский район,-1863175,"5204,445564","221,3099976",,"24,46652372"
2005,"0,00",Володарский район,-1863175,"5096,431215","236,3452871",,"24,43016267"
2006,"0,00",Володарский район,-1863175,"5179,636379","195,8150977",,"24,88528453"
2007,"0,00",Володарский район,-1863175,"5250,483223","200,309995","35,6","24,81183272"
2008,"0,00",Володарский район,-1863175,"5305,808016","215,427172","39,2","24,69711692"
2009,"0,00",Володарский район,-1863175,"5196,607121","260,1160385","39,6","23,6359308"
2010,"0,00",Володарский район,-1863175,"4988,012679","233,6534041","40,1","26,13102535"
2011,"0,00",Володарский район,-1863175,"5174,886717","235,722085","40,2","23,91140181"
2012,"0,00",Володарский район,-1863175,"5190,911079","165,3988707","41,1","25,76897617"
2013,"0,00",Володарский район,-1863175,"5343,64132","253,7130181","41,5","24,76450136"
2014,"0,00",Володарский район,-1863175,"4796,733053","170,5575504","41,8","25,43102459"
2015,"0,00",Володарский район,-1863175,"4295,530321","178,3786759","42,8","25,15959553"
2016,"0,00",Володарский район,-1863175,"5363,174459","294,2232108","44,9","25,17633446"
2017,"0,00",Володарский район,-1863175,"5422,298428","209,6828287","47,1","25,02857208"
2018,"0,00",Володарский район,-1863175,"5155,951815","162,264528","47,5","25,00245289"
2019,"0,00",Володарский район,-1863175,"4901,671487","237,0696186","46,6","25,02409727"
2020,"0,00",Володарский район,-1863175,"5136,588945","140,0949034","47,1","25,54285812"
2001,"0,00",городской округ Астрахань,-1853865,"2929,116119","194,5492321",,"24,22369298"
2002,"0,00",городской округ Астрахань,-1853865,"3249,183014","262,602718",,"23,77072889"
2003,"0,00",городской округ Астрахань,-1853865,"2863,124985","237,1100582",,"22,3278724"
2004,"0,00",городской округ Астрахань,-1853865,"3202,794662","233,8617358",,"24,38431448"
